Detector,Descriptor,ID,Lidar_TopView_Xmin,Lidar_BBox_Xmin,Lidar_TopView_DeltaV,Lidar_BBox_DeltaV,TTC_Lidar_TopView,TTC_Lidar_BBox,TTC_Camera,TTC_Diff1[%],TTC_Diff2[%]
SHITOMASI,BRIEF,90,  4.63,  4.66,  0.00,  0.27,  -nan, 17.25,10000.00,   nan,57877.13
SHITOMASI,BRIEF,91,  4.63,  4.50,  0.02,  0.00,100.00,10000.00,10000.00, 99.00,  0.00
SHITOMASI,BRIEF,92,  4.63,  4.65,  0.00,  0.10,  -nan, 44.25,10000.00,   nan,22497.56
SHITOMASI,BRIEF,93,  4.62,  4.50,  0.09,  0.01, 52.70,450.22,10000.00, 88.29,2121.15
SHITOMASI,BRIEF,94,  4.62,  4.64,  0.00,  0.03,  -nan,154.78,10000.00,   nan,6360.69
SHITOMASI,BRIEF,95,  4.64,  4.50,  0.14,  0.00, 33.07,10000.00,10000.00, 99.67,  0.00
SHITOMASI,BRIEF,96,  4.64,  4.64,  0.00,  0.00,  -nan,10000.00,10000.00,   nan,  0.00
SHITOMASI,BRIEF,97,  4.62,  4.51,  0.21,  0.01, 22.14,10000.00,10000.00, 99.78,  0.00
SHITOMASI,BRIEF,98,  4.62,  4.64,  0.00,  0.04,  -nan,115.99,10000.00,   nan,8521.09
SHITOMASI,BRIEF,99,  4.64,  4.51,  0.20,  0.01, 23.63,10000.00,10000.00, 99.76,  0.00
SHITOMASI,BRIEF,100,  4.64,  4.65,  0.00,  0.12,  -nan, 38.77,10000.00,   nan,25696.05
SHITOMASI,BRIEF,101,  4.63,  4.50,  0.03,  0.04,100.00,112.54,10000.00, 11.15,8785.36
SHITOMASI,BRIEF,102,  4.63,  4.63,  0.00,  0.26,  -nan, 18.14,10000.00,   nan,55017.39
SHITOMASI,BRIEF,103,  4.63,  4.51,  0.01,  0.05,100.00, 90.14,10000.00, 10.94,10994.11
SHITOMASI,BRIEF,104,  4.63,  4.65,  0.00,  0.24,  -nan, 19.38,10000.00,   nan,51507.20
SHITOMASI,BRIEF,105, 15.10, 19.58,104.64,150.76,  0.14,  0.13,10000.00, 11.08,7698414.05
